iucn_sid,pop_trend,iucn_version
222,decreasing,2017-3
224,decreasing,2017-3
225,decreasing,2017-3
229,decreasing,2017-3
230,decreasing,2017-3
232,decreasing,2017-3
233,stable,2017-3
234,stable,2017-3
236,decreasing,2017-3
241,decreasing,2017-3
245,increasing,2017-3
697,unknown,2017-3
903,unknown,2017-3
904,stable,2017-3
907,decreasing,2017-3
1086,unknown,2017-3
1308,unknown,2017-3
1615,unknown,2017-3
1847,stable,2017-3
2055,increasing,2017-3
2057,decreasing,2017-3
2058,decreasing,2017-3
2059,increasing,2017-3
2060,increasing,2017-3
2061,increasing,2017-3
2062,stable,2017-3
2352,unknown,2017-3
2467,increasing,2017-3
2474,stable,2017-3
2475,unknown,2017-3
2477,increasing,2017-3
2478,unknown,2017-3
2539,decreasing,2017-3
2958,NA,2017-3
3381,stable,2017-3
3565,NA,2017-3
3590,decreasing,2017-3
3851,unknown,2017-3
3852,decreasing,2017-3
3853,decreasing,2017-3
3854,unknown,2017-3
3855,unknown,2017-3
3897,decreasing,2017-3
4159,unknown,2017-3
4160,decreasing,2017-3
4162,decreasing,2017-3
4292,decreasing,2017-3
4362,stable,2017-3
4364,stable,2017-3
4592,decreasing,2017-3
4615,decreasing,2017-3
4987,unknown,2017-3
5360,unknown,2017-3
5363,unknown,2017-3
5369,unknown,2017-3
5659,increasing,2017-3
5668,NA,2017-3
5675,unknown,2017-3
6204,unknown,2017-3
6229,unknown,2017-3
6335,unknown,2017-3
6336,unknown,2017-3
6494,decreasing,2017-3
6909,decreasing,2017-3
7011,NA,2017-3
7135,stable,2017-3
7750,decreasing,2017-3
7854,unknown,2017-3
7858,decreasing,2017-3
7859,decreasing,2017-3
7860,unknown,2017-3
7861,decreasing,2017-3
7862,decreasing,2017-3
8005,decreasing,2017-3
8010,unknown,2017-3
8097,stable,2017-3
8153,increasing,2017-3
8239,increasing,2017-3
8262,NA,2017-3
8407,unknown,2017-3
8408,unknown,2017-3
8784,NA,2017-3
8951,stable,2017-3
9266,stable,2017-3
9281,decreasing,2017-3
9461,unknown,2017-3
9660,increasing,2017-3
10030,unknown,2017-3
10057,unknown,2017-3
10063,unknown,2017-3
10066,decreasing,2017-3
10070,decreasing,2017-3
10072,decreasing,2017-3
10074,unknown,2017-3
10075,decreasing,2017-3
10082,decreasing,2017-3
10083,unknown,2017-3
10087,decreasing,2017-3
10088,decreasing,2017-3
10089,stable,2017-3
10097,NA,2017-3
10105,NA,2017-3
10269,decreasing,2017-3
10303,NA,2017-3
10340,unknown,2017-3
10708,unknown,2017-3
11030,unknown,2017-3
11130,decreasing,2017-3
11140,unknown,2017-3
11141,unknown,2017-3
11142,unknown,2017-3
11144,unknown,2017-3
11145,unknown,2017-3
11200,decreasing,2017-3
11206,unknown,2017-3
11375,unknown,2017-3
11533,NA,2017-3
11534,decreasing,2017-3
11696,unknown,2017-3
11987,decreasing,2017-3
12103,NA,2017-3
12125,unknown,2017-3
12137,decreasing,2017-3
12246,unknown,2017-3
12416,decreasing,2017-3
12417,decreasing,2017-3
12419,decreasing,2017-3
13006,increasing,2017-3
13045,NA,2017-3
13581,increasing,2017-3
13583,stable,2017-3
13653,increasing,2017-3
13654,decreasing,2017-3
13704,unknown,2017-3
14049,decreasing,2017-3
14050,decreasing,2017-3
14051,unknown,2017-3
14052,decreasing,2017-3
14053,decreasing,2017-3
14054,unknown,2017-3
14214,stable,2017-3
14264,decreasing,2017-3
14524,unknown,2017-3
14549,decreasing,2017-3
15106,unknown,2017-3
15239,unknown,2017-3
15269,unknown,2017-3
15319,NA,2017-3
15419,decreasing,2017-3
15873,unknown,2017-3
15939,NA,2017-3
16011,NA,2017-3
16012,unknown,2017-3
16474,unknown,2017-3
16564,unknown,2017-3
16781,stable,2017-3
17013,unknown,2017-3
17023,unknown,2017-3
17026,decreasing,2017-3
17027,unknown,2017-3
17028,decreasing,2017-3
17032,unknown,2017-3
17096,decreasing,2017-3
17177,decreasing,2017-3
17710,NA,2017-3
17978,decreasing,2017-3
18175,decreasing,2017-3
18376,unknown,2017-3
18510,NA,2017-3
18878,stable,2017-3
19301,NA,2017-3
19388,stable,2017-3
19488,decreasing,2017-3
19855,NA,2017-3
19861,unknown,2017-3
19877,unknown,2017-3
19899,unknown,2017-3
19950,decreasing,2017-3
20047,decreasing,2017-3
20084,NA,2017-3
20085,NA,2017-3
20317,unknown,2017-3
20425,decreasing,2017-3
20729,unknown,2017-3
20731,unknown,2017-3
20738,unknown,2017-3
20795,unknown,2017-3
21257,unknown,2017-3
21341,decreasing,2017-3
21342,unknown,2017-3
21343,decreasing,2017-3
21856,decreasing,2017-3
21857,decreasing,2017-3
21858,decreasing,2017-3
21859,decreasing,2017-3
21860,decreasing,2017-3
21994,unknown,2017-3
22003,decreasing,2017-3
22103,decreasing,2017-3
22135,NA,2017-3
22136,NA,2017-3
22137,NA,2017-3
22138,NA,2017-3
22140,NA,2017-3
22563,unknown,2017-3
23148,decreasing,2017-3
23211,unknown,2017-3
23259,stable,2017-3
29609,NA,2017-3
39302,NA,2017-3
39303,decreasing,2017-3
39304,NA,2017-3
39327,stable,2017-3
39328,decreasing,2017-3
39329,decreasing,2017-3
39330,decreasing,2017-3
39332,decreasing,2017-3
39334,stable,2017-3
39337,unknown,2017-3
39338,unknown,2017-3
39339,decreasing,2017-3
39341,decreasing,2017-3
39342,stable,2017-3
39345,unknown,2017-3
39346,unknown,2017-3
39348,unknown,2017-3
39349,unknown,2017-3
39350,unknown,2017-3
39351,increasing,2017-3
39352,decreasing,2017-3
39353,unknown,2017-3
39354,stable,2017-3
39355,stable,2017-3
39356,increasing,2017-3
39357,unknown,2017-3
39358,decreasing,2017-3
39359,unknown,2017-3
39362,unknown,2017-3
39365,unknown,2017-3
39367,unknown,2017-3
39368,unknown,2017-3
39369,unknown,2017-3
39370,decreasing,2017-3
39372,unknown,2017-3
39374,decreasing,2017-3
39375,decreasing,2017-3
39378,unknown,2017-3
39380,unknown,2017-3
39381,unknown,2017-3
39383,unknown,2017-3
39384,unknown,2017-3
39385,unknown,2017-3
39386,decreasing,2017-3
39387,stable,2017-3
39388,decreasing,2017-3
39389,decreasing,2017-3
39393,decreasing,2017-3
39394,decreasing,2017-3
39396,unknown,2017-3
39397,decreasing,2017-3
39399,decreasing,2017-3
39400,decreasing,2017-3
39412,unknown,2017-3
39413,decreasing,2017-3
39415,decreasing,2017-3
39416,unknown,2017-3
39418,decreasing,2017-3
39771,stable,2017-3
39773,unknown,2017-3
39774,decreasing,2017-3
40715,unknown,2017-3
40797,unknown,2017-3
40802,decreasing,2017-3
41005,decreasing,2017-3
41007,decreasing,2017-3
41008,decreasing,2017-3
41009,unknown,2017-3
41010,decreasing,2017-3
41064,decreasing,2017-3
41664,increasing,2017-3
41665,stable,2017-3
41666,increasing,2017-3
41668,decreasing,2017-3
41670,unknown,2017-3
41671,increasing,2017-3
41672,unknown,2017-3
41711,unknown,2017-3
41712,unknown,2017-3
41718,unknown,2017-3
41719,unknown,2017-3
41720,stable,2017-3
41722,unknown,2017-3
41723,unknown,2017-3
41724,unknown,2017-3
41725,unknown,2017-3
41726,unknown,2017-3
41727,unknown,2017-3
41728,unknown,2017-3
41729,unknown,2017-3
41730,unknown,2017-3
41732,unknown,2017-3
41734,decreasing,2017-3
41735,stable,2017-3
41736,unknown,2017-3
41737,unknown,2017-3
41738,unknown,2017-3
41739,stable,2017-3
41740,decreasing,2017-3
41741,unknown,2017-3
41743,stable,2017-3
41747,unknown,2017-3
41749,unknown,2017-3
41752,stable,2017-3
41753,stable,2017-3
41755,unknown,2017-3
41791,unknown,2017-3
41792,unknown,2017-3
41794,unknown,2017-3
41796,stable,2017-3
41797,decreasing,2017-3
41798,unknown,2017-3
41799,stable,2017-3
41800,stable,2017-3
41802,unknown,2017-3
41804,unknown,2017-3
41805,unknown,2017-3
41806,unknown,2017-3
41807,unknown,2017-3
41808,unknown,2017-3
41809,unknown,2017-3
41810,decreasing,2017-3
41811,unknown,2017-3
41814,unknown,2017-3
41816,decreasing,2017-3
41818,stable,2017-3
41820,unknown,2017-3
41823,unknown,2017-3
41824,unknown,2017-3
41825,unknown,2017-3
41826,stable,2017-3
41827,stable,2017-3
41828,unknown,2017-3
41829,unknown,2017-3
41830,unknown,2017-3
41831,unknown,2017-3
41832,unknown,2017-3
41833,unknown,2017-3
41835,decreasing,2017-3
41836,decreasing,2017-3
41837,unknown,2017-3
41838,unknown,2017-3
41839,unknown,2017-3
41841,unknown,2017-3
41842,unknown,2017-3
41844,unknown,2017-3
41846,stable,2017-3
41848,decreasing,2017-3
41849,decreasing,2017-3
41850,unknown,2017-3
41851,unknown,2017-3
41852,unknown,2017-3
41853,decreasing,2017-3
41858,unknown,2017-3
41862,stable,2017-3
41864,unknown,2017-3
41871,decreasing,2017-3
41872,decreasing,2017-3
41873,unknown,2017-3
41874,decreasing,2017-3
41876,decreasing,2017-3
41878,decreasing,2017-3
41880,decreasing,2017-3
42700,unknown,2017-3
42704,unknown,2017-3
42706,unknown,2017-3
42707,decreasing,2017-3
42712,decreasing,2017-3
42713,unknown,2017-3
42716,unknown,2017-3
42717,unknown,2017-3
42720,unknown,2017-3
42721,unknown,2017-3
42727,unknown,2017-3
42728,unknown,2017-3
42729,decreasing,2017-3
42730,unknown,2017-3
43974,decreasing,2017-3
44183,stable,2017-3
44186,unknown,2017-3
44217,unknown,2017-3
44222,unknown,2017-3
44223,unknown,2017-3
44463,decreasing,2017-3
44496,unknown,2017-3
44565,stable,2017-3
44566,unknown,2017-3
44575,decreasing,2017-3
44577,unknown,2017-3
44581,decreasing,2017-3
44582,unknown,2017-3
44583,unknown,2017-3
44586,unknown,2017-3
44591,unknown,2017-3
44598,unknown,2017-3
44599,unknown,2017-3
44602,unknown,2017-3
44606,stable,2017-3
44609,stable,2017-3
44611,unknown,2017-3
44618,unknown,2017-3
44619,unknown,2017-3
44620,unknown,2017-3
44642,decreasing,2017-3
44649,stable,2017-3
44650,stable,2017-3
44651,unknown,2017-3
44654,unknown,2017-3
44655,unknown,2017-3
44656,decreasing,2017-3
44657,unknown,2017-3
44668,unknown,2017-3
44669,unknown,2017-3
44670,unknown,2017-3
44673,unknown,2017-3
44674,decreasing,2017-3
44675,unknown,2017-3
44677,decreasing,2017-3
44681,decreasing,2017-3
44682,unknown,2017-3
44683,decreasing,2017-3
44684,decreasing,2017-3
44686,unknown,2017-3
44993,decreasing,2017-3
46863,NA,2017-3
46864,unknown,2017-3
46865,unknown,2017-3
60081,unknown,2017-3
60083,stable,2017-3
60085,stable,2017-3
60088,decreasing,2017-3
60090,unknown,2017-3
60091,unknown,2017-3
60092,stable,2017-3
60093,unknown,2017-3
60099,unknown,2017-3
60100,unknown,2017-3
60102,stable,2017-3
60103,unknown,2017-3
60104,decreasing,2017-3
60105,decreasing,2017-3
60106,unknown,2017-3
60108,stable,2017-3
60109,unknown,2017-3
60111,unknown,2017-3
60112,unknown,2017-3
60113,decreasing,2017-3
60117,decreasing,2017-3
60119,decreasing,2017-3
60120,decreasing,2017-3
60121,decreasing,2017-3
60128,unknown,2017-3
60129,unknown,2017-3
60130,unknown,2017-3
60138,stable,2017-3
60139,unknown,2017-3
60140,stable,2017-3
60143,unknown,2017-3
60145,unknown,2017-3
60146,unknown,2017-3
60147,unknown,2017-3
60148,unknown,2017-3
60150,unknown,2017-3
60153,unknown,2017-3
60155,unknown,2017-3
60156,unknown,2017-3
60158,unknown,2017-3
60159,unknown,2017-3
60160,unknown,2017-3
60162,decreasing,2017-3
60163,unknown,2017-3
60164,unknown,2017-3
60166,decreasing,2017-3
60168,unknown,2017-3
60171,decreasing,2017-3
60175,unknown,2017-3
60180,decreasing,2017-3
60185,unknown,2017-3
60191,increasing,2017-3
60192,stable,2017-3
60195,stable,2017-3
60197,unknown,2017-3
60198,unknown,2017-3
60199,decreasing,2017-3
60200,decreasing,2017-3
60202,decreasing,2017-3
60203,decreasing,2017-3
60204,unknown,2017-3
60210,unknown,2017-3
60212,unknown,2017-3
60213,unknown,2017-3
60214,unknown,2017-3
60217,decreasing,2017-3
60218,decreasing,2017-3
60219,decreasing,2017-3
60222,unknown,2017-3
60225,decreasing,2017-3
60228,unknown,2017-3
60231,unknown,2017-3
60233,increasing,2017-3
60236,unknown,2017-3
60239,unknown,2017-3
60243,unknown,2017-3
60244,unknown,2017-3
60245,unknown,2017-3
60246,unknown,2017-3
60344,decreasing,2017-3
61333,decreasing,2017-3
61337,unknown,2017-3
61338,decreasing,2017-3
61339,decreasing,2017-3
61340,decreasing,2017-3
61398,decreasing,2017-3
61403,unknown,2017-3
61404,unknown,2017-3
61405,decreasing,2017-3
61407,stable,2017-3
61408,decreasing,2017-3
61417,decreasing,2017-3
61418,decreasing,2017-3
61743,stable,2017-3
62223,unknown,2017-3
63100,decreasing,2017-3
63102,unknown,2017-3
63103,unknown,2017-3
63104,decreasing,2017-3
63106,decreasing,2017-3
63107,unknown,2017-3
63108,unknown,2017-3
63109,unknown,2017-3
63110,decreasing,2017-3
63111,unknown,2017-3
63113,decreasing,2017-3
63114,stable,2017-3
63116,decreasing,2017-3
63117,unknown,2017-3
63118,unknown,2017-3
63119,unknown,2017-3
63120,decreasing,2017-3
63122,unknown,2017-3
63123,unknown,2017-3
63126,unknown,2017-3
63127,unknown,2017-3
63128,decreasing,2017-3
63129,decreasing,2017-3
63131,decreasing,2017-3
63132,decreasing,2017-3
63141,unknown,2017-3
63144,unknown,2017-3
63145,unknown,2017-3
63146,stable,2017-3
63152,unknown,2017-3
63153,decreasing,2017-3
63154,decreasing,2017-3
63155,unknown,2017-3
63156,unknown,2017-3
63165,stable,2017-3
63570,unknown,2017-3
63571,decreasing,2017-3
64396,decreasing,2017-3
64400,decreasing,2017-3
64407,unknown,2017-3
64410,decreasing,2017-3
64411,decreasing,2017-3
64412,decreasing,2017-3
132722,decreasing,2017-3
132723,decreasing,2017-3
132726,unknown,2017-3
132727,stable,2017-3
132729,stable,2017-3
132730,unknown,2017-3
132732,decreasing,2017-3
132733,stable,2017-3
132736,decreasing,2017-3
132737,unknown,2017-3
132738,stable,2017-3
132741,decreasing,2017-3
132742,unknown,2017-3
132743,unknown,2017-3
132745,decreasing,2017-3
132747,unknown,2017-3
132748,unknown,2017-3
132749,unknown,2017-3
132751,unknown,2017-3
132753,decreasing,2017-3
132754,unknown,2017-3
132755,unknown,2017-3
132756,unknown,2017-3
132757,stable,2017-3
132759,decreasing,2017-3
132761,stable,2017-3
132764,unknown,2017-3
132766,unknown,2017-3
132767,unknown,2017-3
132771,unknown,2017-3
132773,unknown,2017-3
132774,unknown,2017-3
132775,decreasing,2017-3
132776,decreasing,2017-3
132777,decreasing,2017-3
132778,stable,2017-3
132779,unknown,2017-3
132781,stable,2017-3
132783,unknown,2017-3
132787,unknown,2017-3
132788,stable,2017-3
132789,unknown,2017-3
132790,unknown,2017-3
132795,unknown,2017-3
132799,decreasing,2017-3
132802,unknown,2017-3
132803,unknown,2017-3
132804,unknown,2017-3
132805,unknown,2017-3
132806,decreasing,2017-3
132807,unknown,2017-3
132808,unknown,2017-3
132810,decreasing,2017-3
132811,unknown,2017-3
132815,unknown,2017-3
132817,decreasing,2017-3
132818,decreasing,2017-3
132819,decreasing,2017-3
132822,stable,2017-3
132823,stable,2017-3
132825,unknown,2017-3
132826,decreasing,2017-3
132827,stable,2017-3
132829,unknown,2017-3
132830,stable,2017-3
132859,unknown,2017-3
132860,unknown,2017-3
132866,decreasing,2017-3
132869,decreasing,2017-3
132871,unknown,2017-3
132872,decreasing,2017-3
132874,unknown,2017-3
132876,unknown,2017-3
132877,unknown,2017-3
132878,decreasing,2017-3
132879,unknown,2017-3
132880,unknown,2017-3
132881,unknown,2017-3
132883,decreasing,2017-3
132884,stable,2017-3
132885,unknown,2017-3
132887,unknown,2017-3
132888,decreasing,2017-3
132889,unknown,2017-3
132890,unknown,2017-3
132893,decreasing,2017-3
132894,decreasing,2017-3
132895,unknown,2017-3
132899,decreasing,2017-3
132900,unknown,2017-3
132901,unknown,2017-3
132903,unknown,2017-3
132904,unknown,2017-3
132905,unknown,2017-3
132907,unknown,2017-3
132909,decreasing,2017-3
132910,decreasing,2017-3
132911,unknown,2017-3
132913,decreasing,2017-3
132916,unknown,2017-3
132917,unknown,2017-3
132922,decreasing,2017-3
132923,unknown,2017-3
132924,unknown,2017-3
132925,unknown,2017-3
132927,unknown,2017-3
132928,unknown,2017-3
132929,unknown,2017-3
132931,decreasing,2017-3
132933,decreasing,2017-3
132935,decreasing,2017-3
132936,decreasing,2017-3
132937,unknown,2017-3
132940,decreasing,2017-3
132942,decreasing,2017-3
132944,decreasing,2017-3
132947,unknown,2017-3
132948,decreasing,2017-3
132953,unknown,2017-3
132956,unknown,2017-3
132957,unknown,2017-3
132958,unknown,2017-3
132960,unknown,2017-3
132962,unknown,2017-3
132963,stable,2017-3
132967,unknown,2017-3
132968,unknown,2017-3
132969,decreasing,2017-3
132970,decreasing,2017-3
132972,decreasing,2017-3
132974,unknown,2017-3
132975,unknown,2017-3
132976,decreasing,2017-3
132978,decreasing,2017-3
132979,decreasing,2017-3
132980,decreasing,2017-3
132981,decreasing,2017-3
132983,decreasing,2017-3
132984,decreasing,2017-3
132985,unknown,2017-3
132986,unknown,2017-3
132987,decreasing,2017-3
132988,decreasing,2017-3
132990,decreasing,2017-3
132991,unknown,2017-3
132992,decreasing,2017-3
132993,unknown,2017-3
132995,unknown,2017-3
132996,unknown,2017-3
132997,decreasing,2017-3
132998,decreasing,2017-3
133001,unknown,2017-3
133002,stable,2017-3
133003,decreasing,2017-3
133006,stable,2017-3
133008,unknown,2017-3
133009,decreasing,2017-3
133010,decreasing,2017-3
133011,unknown,2017-3
133012,decreasing,2017-3
133013,decreasing,2017-3
133015,decreasing,2017-3
133016,unknown,2017-3
133019,unknown,2017-3
133020,decreasing,2017-3
133021,decreasing,2017-3
133023,unknown,2017-3
133024,unknown,2017-3
133025,decreasing,2017-3
133026,unknown,2017-3
133027,stable,2017-3
133028,unknown,2017-3
133029,decreasing,2017-3
133031,decreasing,2017-3
133032,unknown,2017-3
133033,decreasing,2017-3
133034,unknown,2017-3
133038,unknown,2017-3
133039,unknown,2017-3
133041,unknown,2017-3
133042,stable,2017-3
133043,unknown,2017-3
133044,unknown,2017-3
133045,unknown,2017-3
133046,decreasing,2017-3
133047,stable,2017-3
133048,decreasing,2017-3
133049,unknown,2017-3
133053,unknown,2017-3
133054,unknown,2017-3
133055,decreasing,2017-3
133056,decreasing,2017-3
133057,unknown,2017-3
133058,unknown,2017-3
133059,decreasing,2017-3
133060,decreasing,2017-3
133062,unknown,2017-3
133063,unknown,2017-3
133065,unknown,2017-3
133066,decreasing,2017-3
133067,decreasing,2017-3
133068,decreasing,2017-3
133069,decreasing,2017-3
133070,decreasing,2017-3
133071,decreasing,2017-3
133074,decreasing,2017-3
133075,unknown,2017-3
133076,unknown,2017-3
133077,unknown,2017-3
133078,decreasing,2017-3
133079,decreasing,2017-3
133080,decreasing,2017-3
133081,decreasing,2017-3
133082,unknown,2017-3
133083,unknown,2017-3
133084,decreasing,2017-3
133085,stable,2017-3
133087,decreasing,2017-3
133088,decreasing,2017-3
133089,unknown,2017-3
133090,decreasing,2017-3
133091,unknown,2017-3
133094,stable,2017-3
133095,unknown,2017-3
133097,unknown,2017-3
133098,unknown,2017-3
133099,unknown,2017-3
133101,decreasing,2017-3
133102,decreasing,2017-3
133105,unknown,2017-3
133106,unknown,2017-3
133109,unknown,2017-3
133110,unknown,2017-3
133111,decreasing,2017-3
133112,decreasing,2017-3
133113,decreasing,2017-3
133114,unknown,2017-3
133115,decreasing,2017-3
133116,unknown,2017-3
133117,decreasing,2017-3
133120,decreasing,2017-3
133121,stable,2017-3
133124,stable,2017-3
133126,unknown,2017-3
133127,unknown,2017-3
133129,decreasing,2017-3
133131,decreasing,2017-3
133132,decreasing,2017-3
133133,decreasing,2017-3
133134,decreasing,2017-3
133135,stable,2017-3
133136,decreasing,2017-3
133137,decreasing,2017-3
133139,decreasing,2017-3
133140,stable,2017-3
133142,decreasing,2017-3
133144,stable,2017-3
133146,unknown,2017-3
133147,unknown,2017-3
133148,unknown,2017-3
133151,decreasing,2017-3
133152,unknown,2017-3
133155,stable,2017-3
133156,unknown,2017-3
133157,unknown,2017-3
133158,unknown,2017-3
133160,decreasing,2017-3
133161,decreasing,2017-3
133163,unknown,2017-3
133164,decreasing,2017-3
133165,unknown,2017-3
133166,unknown,2017-3
133167,decreasing,2017-3
133168,increasing,2017-3
133169,unknown,2017-3
133171,unknown,2017-3
133172,unknown,2017-3
133173,unknown,2017-3
133174,decreasing,2017-3
133175,decreasing,2017-3
133176,stable,2017-3
133177,unknown,2017-3
133178,decreasing,2017-3
133179,unknown,2017-3
133180,unknown,2017-3
133182,decreasing,2017-3
133183,unknown,2017-3
133185,decreasing,2017-3
133186,decreasing,2017-3
133188,decreasing,2017-3
133192,unknown,2017-3
133193,decreasing,2017-3
133194,decreasing,2017-3
133196,decreasing,2017-3
133197,unknown,2017-3
133198,unknown,2017-3
133200,decreasing,2017-3
133201,unknown,2017-3
133203,decreasing,2017-3
133206,decreasing,2017-3
133207,decreasing,2017-3
133208,unknown,2017-3
133209,decreasing,2017-3
133210,decreasing,2017-3
133212,stable,2017-3
133213,unknown,2017-3
133215,unknown,2017-3
133216,unknown,2017-3
133218,unknown,2017-3
133219,unknown,2017-3
133220,decreasing,2017-3
133222,unknown,2017-3
133223,decreasing,2017-3
133224,stable,2017-3
133225,unknown,2017-3
133226,unknown,2017-3
133227,decreasing,2017-3
133229,decreasing,2017-3
133231,decreasing,2017-3
133233,decreasing,2017-3
133235,unknown,2017-3
133236,unknown,2017-3
133237,stable,2017-3
133238,decreasing,2017-3
133239,decreasing,2017-3
133240,unknown,2017-3
133242,unknown,2017-3
133243,decreasing,2017-3
133244,decreasing,2017-3
133245,decreasing,2017-3
133246,unknown,2017-3
133247,decreasing,2017-3
133248,decreasing,2017-3
133250,decreasing,2017-3
133251,unknown,2017-3
133252,decreasing,2017-3
133253,unknown,2017-3
133255,stable,2017-3
133256,unknown,2017-3
133257,stable,2017-3
133258,unknown,2017-3
133259,decreasing,2017-3
133261,unknown,2017-3
133262,unknown,2017-3
133263,decreasing,2017-3
133266,decreasing,2017-3
133267,decreasing,2017-3
133269,unknown,2017-3
133271,decreasing,2017-3
133272,unknown,2017-3
133277,unknown,2017-3
133278,decreasing,2017-3
133281,stable,2017-3
133283,decreasing,2017-3
133284,decreasing,2017-3
133288,unknown,2017-3
133289,unknown,2017-3
133290,decreasing,2017-3
133291,decreasing,2017-3
133292,decreasing,2017-3
133293,decreasing,2017-3
133298,decreasing,2017-3
133302,decreasing,2017-3
133303,decreasing,2017-3
133304,unknown,2017-3
133306,decreasing,2017-3
133307,decreasing,2017-3
133308,unknown,2017-3
133309,unknown,2017-3
133310,decreasing,2017-3
133313,decreasing,2017-3
133314,decreasing,2017-3
133315,decreasing,2017-3
133316,unknown,2017-3
133317,unknown,2017-3
133319,decreasing,2017-3
133320,decreasing,2017-3
